periodo,fonte,alvo,peso,n,pct_da_origem,pct_do_total
pre,G1,Desocupado,189798.27027688,326,1.117952943265242,0.046760922054748064
pre,G1,Fora da força,319206.04049897,730,1.8801927539343735,0.07864333409046523
pre,G1,G0,7517.64067563,19,0.04428053273336299,0.0018521338954033627
pre,G1,G1,9579666.95122576,17590,56.426314359979614,2.3601588094729893
pre,G1,G2,1582743.3186446,2829,9.322701144382705,0.3899431583219697
pre,G1,G3,1094763.00810263,2002,6.448391364688491,0.269718620805284
pre,G1,G4,1023828.52087669,2103,6.0305718626584435,0.2522423707671415
pre,G1,G5,2010739.72426808,4147,11.843692724947175,0.49538935935360157
pre,G1,G6,125746.26444088,447,0.7406727481299685,0.030980320640530055
pre,G1,G7,549981.35528837,1070,3.239509369546333,0.13549984016549244
pre,G1,G8,227007.72332053,488,1.3371246853825651,0.05592827816887738
pre,G1,G9,266305.22905489,584,1.5685955103517328,0.06561007136915117
pre,G2,Desocupado,773359.20219848,1590,1.582314154925844,0.19053381952095913
pre,G2,Fora da força,1241933.99615135,3036,2.541031044833363,0.3059773869722629
pre,G2,G0,33313.50579354,68,0.06816034724546276,0.008207504976255199
pre,G2,G1,1670014.4840261,2908,3.4168954730139647,0.41144430349088046
pre,G2,G2,39720002.78123141,78522,81.26821592834197,9.785884514953812
pre,G2,G3,1955037.7401757601,3629,4.000060878438228,0.48166596697159486
pre,G2,G4,1239914.36052577,2474,2.5368988149083,0.3054798059146012
pre,G2,G5,1342746.93942984,2717,2.747297093903212,0.33081484295054037
pre,G2,G6,56980.39740728,162,0.11658345709798577,0.014038357240682165
pre,G2,G7,443809.28515306,844,0.9080459791373607,0.10934204700570278
pre,G2,G8,200930.10521807,339,0.411108510422424,0.04950349112691055
pre,G2,G9,197156.84562775,413,0.403388317731886,0.048573866756056745
pre,G3,Desocupado,794258.33665817,1520,2.3694353744510375,0.195682774756724
pre,G3,Fora da força,1098520.49960452,2499,3.277111754689446,0.27064436036542294
pre,G3,G0,32993.172757,83,0.0984253951613917,0.008128583982236887
pre,G3,G1,1107494.35993868,1938,3.30388261895334,0.2728552655702159
pre,G3,G2,1975455.11536852,3669,5.893187411401255,0.48669623035891874
pre,G3,G3,21626618.97026658,42778,64.51663602742546,5.328186829632868
pre,G3,G4,2060437.48793032,4300,6.146707242996508,0.5076334817553239
pre,G3,G5,1907175.80762008,3860,5.689496244868606,0.46987414139615175
pre,G3,G6,76483.67087359,224,0.228166462939814,0.018843411833856984
pre,G3,G7,1739122.48827399,3213,5.188158756454036,0.4284705598170343
pre,G3,G8,566516.23116815,1113,1.690034005784947,0.1395735656060425
pre,G3,G9,535919.84121758,1107,1.598758704874156,0.13203548107266855
pre,G4,Desocupado,1062910.46916587,1893,3.1557425603043154,0.2618710567137102
pre,G4,Fora da força,1144830.35954077,2685,3.39895973812966,0.28205379917477696
pre,G4,G0,31340.56022852,68,0.0930489845062268,0.007721427028075926
pre,G4,G1,986304.53805552,1986,2.9283023344437247,0.24299752341777042
pre,G4,G2,1261450.11595342,2517,3.7451995573427785,0.31078560653898724
pre,G4,G3,2144570.81618176,4319,6.367152826636824,0.5283615526636253
pre,G4,G4,22926352.20553999,45214,68.0675066304751,5.648404313269171
pre,G4,G5,2020036.36954785,4237,5.997414579750437,0.4976797896334128
pre,G4,G6,47082.31120988,117,0.1397856711667453,0.011599748940972177
pre,G4,G7,575737.60261027,1041,1.7093440217505969,0.14184545054268505
pre,G4,G8,443877.19266895,908,1.3178552560057732,0.10935877749567424
pre,G4,G9,1037293.88053719,2144,3.0796878394878267,0.25555985428585454
pre,G5,Desocupado,3471221.46750703,7095,3.829085127327904,0.8552107257883523
pre,G5,Fora da força,6323525.67724648,15944,6.97544606406522,1.5579377560899728
pre,G5,G0,70258.32031455,154,0.07750156303933337,0.017309661648304255
pre,G5,G1,1892390.40568225,3980,2.0874853492710046,0.46623143682063384
pre,G5,G2,1337958.56091437,2711,1.4758946597140115,0.3296351220068042
pre,G5,G3,1916688.13776271,3885,2.1142880426191493,0.47221771032177823
pre,G5,G4,2095364.20453123,4275,2.3113846197972525,0.5162384362168208
pre,G5,G5,65487282.8973597,138523,72.23865815495887,16.13421306039002
pre,G5,G6,435073.81691798,1503,0.4799275117547787,0.107189874867061
pre,G5,G7,2527081.55295346,5441,2.787609629790698,0.622601372242553
pre,G5,G8,1059484.5388786,2232,1.1687115121950065,0.2610270044528844
pre,G5,G9,4037739.26612085,9424,4.454007765466759,0.9947846775686455
pre,G6,Desocupado,475766.53014054,1606,2.0139426811586736,0.11721540770474428
pre,G6,Fora da força,2704317.1798983198,12448,11.447505124791046,0.666267214532911
pre,G6,G0,3026.07733578,19,0.01280953139182367,0.0007455398103661492
pre,G6,G1,140624.5870756,459,0.5952706632141733,0.0346459182458855
pre,G6,G2,59486.84405461,175,0.25181068154083835,0.014655874756195897
pre,G6,G3,68439.31236832,220,0.2897069119321928,0.016861509572594902
pre,G6,G4,53245.66658311,161,0.2253914761233684,0.013118225267352207
pre,G6,G5,443026.34368362,1578,1.8753518919427805,0.10914915238673441
pre,G6,G6,16598016.21251656,71124,70.26020359834132,4.08928143151511
pre,G6,G7,422717.10243654,1547,1.7893818936804808,0.10414553014317877
pre,G6,G8,387559.7100915,1409,1.6405589552930293,0.09548374370699927
pre,G6,G9,2267412.51406211,8711,9.598066590590268,0.5586262703097674
pre,G7,Desocupado,2196570.66696127,4648,4.053899216642435,0.5411728441765142
pre,G7,Fora da força,3176381.91404278,8189,5.862197991976676,0.7825706044738331
pre,G7,G0,14151.69627435,30,0.02611778045826043,0.0034865774354106887
pre,G7,G1,511343.6208748,1022,0.9437144614915355,0.12598059594556715
pre,G7,G2,477625.78213526,883,0.8814862244905417,0.1176734747749995
pre,G7,G3,1712165.99656689,3243,3.1599021586892166,0.4218292431930929
pre,G7,G4,578881.50445391,1064,1.0683595628093114,0.14262001897707471
pre,G7,G5,2541309.98861994,5660,4.690135731605679,0.6261068560922776
pre,G7,G6,415444.38677624,1493,0.7667268344435155,0.10235373883959355
pre,G7,G7,37299539.00807526,77257,68.83847364452963,9.189550746117124
pre,G7,G8,2438837.99729572,4949,4.501017697933799,0.6008606576305292
pre,G7,G9,2821893.35708479,6569,5.2079686949294155,0.6952346569068129
pre,G8,Desocupado,987310.55885736,2048,2.831741432608844,0.24324537847056762
pre,G8,Fora da força,1301696.46493417,3497,3.7334431191544586,0.32070116786065583
pre,G8,G0,15473.9820346,33,0.04438149239033135,0.003812351222911245
pre,G8,G1,230582.51502344,480,0.6613421233767642,0.056809005669385584
pre,G8,G2,174313.03480824,335,0.49995357436625376,0.042945798304188244
pre,G8,G3,557015.43959418,1046,1.5975963031603202,0.13723283945716497
pre,G8,G4,484214.07276506,910,1.3887920470413921,0.11929664312192215
pre,G8,G5,1011772.19455355,2113,2.901900742350706,0.24927203318376667
pre,G8,G6,388239.37007331,1361,1.1135235009325803,0.09565119269052681
pre,G8,G7,2286368.52810699,4729,6.557616986033712,0.5632964956702423
pre,G8,G8,25572047.64344367,53246,73.34412275747634,6.3002287897090214
pre,G8,G9,1856810.49528883,4209,5.3255859211083045,0.457465553895597
pre,G9,Desocupado,3597906.63097347,8450,5.481304395444508,0.8864223645757099
pre,G9,Fora da força,5761531.10849063,17178,8.777522328564514,1.4194782001285442
pre,G9,G0,20670.40460376,56,0.031490750381021074,0.005092602672861491
pre,G9,G1,244959.20168091,516,0.37318810258143414,0.06035101436743525
pre,G9,G2,212531.79985202,436,0.3237859144736654,0.05236182032922472
pre,G9,G3,557671.83909694,1173,0.849596561662475,0.13739455771698136
pre,G9,G4,1065367.88294008,2228,1.6230564765781244,0.26247649391703387
pre,G9,G5,4171623.45007498,9792,6.35534500984219,1.0277699512548055
pre,G9,G6,2253643.34666975,8681,3.4333590192480616,0.555233937164404
pre,G9,G7,2861857.36612355,6560,4.359955098619102,0.7050806576576656
pre,G9,G8,2026573.14864884,4467,3.0874242849301474,0.4992902669975352
pre,G9,G9,42865270.2248185,103029,65.30397205767476,10.560789394520716
